faixa_etaria;tamanho_familia;renda_familiar;redacao;sexo_feminino;escola_privada;escola_publica;treineiro;media_objetivas;faltou;branco_amarelo;preto_pardo_indigena;acesso_tecnologia
6;3;1;760.0;0;0;0;0;652.9250000000001;0;0;1;1
0;5;1;620.0;1;0;1;0;415.25;0;0;1;1
2;4;10;600.0;1;0;0;0;426.77500000000003;0;0;1;1
1;2;16;;1;0;1;0;;1;0;1;1
4;2;1;520.0;1;0;0;0;452.67499999999995;0;1;0;1
5;4;3;;1;0;0;0;;1;1;0;1
19;3;15;;1;0;0;1;;1;1;0;1
4;5;1;700.0;1;0;0;0;460.625;0;0;1;1
9;2;2;600.0;0;0;0;0;533.35;0;0;1;1
9;2;1;;0;0;1;0;;1;0;1;0
0;5;2;800.0;1;0;0;1;468.4;0;0;1;1
6;2;2;600.0;0;0;0;0;519.275;0;0;1;1
0;6;1;;1;0;0;1;;1;1;0;1
1;2;1;920.0;1;0;0;0;594.875;0;0;1;1
11;2;3;640.0;0;0;0;0;558.25;0;0;1;1
2;4;16;560.0;0;0;0;0;537.725;0;0;1;1
19;2;1;900.0;1;0;0;1;569.275;0;1;0;1
1;4;1;900.0;0;0;1;0;530.6;0;0;1;1
2;4;1;;1;0;1;0;;1;1;0;1
4;1;1;520.0;0;0;0;0;465.9;1;1;0;1
3;4;13;;0;0;0;0;;1;0;1;1
5;2;2;700.0;1;0;0;0;547.2249999999999;0;0;1;0
1;1;1;700.0;1;0;1;0;491.875;0;0;1;1
5;5;11;980.0;1;0;0;0;630.375;0;0;1;1
1;3;8;620.0;1;0;0;0;539.925;0;1;0;1
10;4;16;520.0;0;0;0;0;402.925;0;0;1;1
3;4;16;500.0;1;0;0;0;394.99999999999994;0;0;1;1
3;3;1;360.0;1;0;1;0;407.65;0;0;1;0
19;2;3;700.0;0;0;0;1;457.92499999999995;0;1;0;1
0;4;5;840.0;1;0;1;0;516.05;0;0;1;1
1;4;13;840.0;1;0;1;0;559.925;0;1;0;1
2;2;10;;1;0;0;0;;1;1;0;1
0;5;2;520.0;0;0;1;0;499.25;0;1;0;1
0;3;1;;1;0;1;0;;1;0;1;1
0;4;1;400.0;1;0;1;0;509.9750000000001;0;1;0;1
0;3;3;;0;0;1;0;;1;0;1;1
